"file","subject_id","gesture","clip_id","frame_index","timestamp_ms","background","lighting","split","found_hand"
"data/raw/s01/stop/20260613_134545_stop_001/frame_000.jpg","s01","stop","20260613_134545_stop_001","0","72","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_001.jpg","s01","stop","20260613_134545_stop_001","1","118","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_002.jpg","s01","stop","20260613_134545_stop_001","2","218","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_003.jpg","s01","stop","20260613_134545_stop_001","3","317","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_004.jpg","s01","stop","20260613_134545_stop_001","4","416","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_005.jpg","s01","stop","20260613_134545_stop_001","5","517","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_006.jpg","s01","stop","20260613_134545_stop_001","6","619","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_007.jpg","s01","stop","20260613_134545_stop_001","7","717","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_008.jpg","s01","stop","20260613_134545_stop_001","8","816","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_009.jpg","s01","stop","20260613_134545_stop_001","9","917","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_010.jpg","s01","stop","20260613_134545_stop_001","10","1016","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_011.jpg","s01","stop","20260613_134545_stop_001","11","1117","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_012.jpg","s01","stop","20260613_134545_stop_001","12","1217","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_013.jpg","s01","stop","20260613_134545_stop_001","13","1319","simple","bright","","1"
"data/raw/s01/stop/20260613_134545_stop_001/frame_014.jpg","s01","stop","20260613_134545_stop_001","14","1416","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_000.jpg","s01","stop","20260613_134553_stop_002","0","38","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_001.jpg","s01","stop","20260613_134553_stop_002","1","116","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_002.jpg","s01","stop","20260613_134553_stop_002","2","217","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_003.jpg","s01","stop","20260613_134553_stop_002","3","317","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_004.jpg","s01","stop","20260613_134553_stop_002","4","416","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_005.jpg","s01","stop","20260613_134553_stop_002","5","516","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_006.jpg","s01","stop","20260613_134553_stop_002","6","617","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_007.jpg","s01","stop","20260613_134553_stop_002","7","716","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_008.jpg","s01","stop","20260613_134553_stop_002","8","816","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_009.jpg","s01","stop","20260613_134553_stop_002","9","916","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_010.jpg","s01","stop","20260613_134553_stop_002","10","1016","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_011.jpg","s01","stop","20260613_134553_stop_002","11","1116","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_012.jpg","s01","stop","20260613_134553_stop_002","12","1216","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_013.jpg","s01","stop","20260613_134553_stop_002","13","1316","simple","bright","","1"
"data/raw/s01/stop/20260613_134553_stop_002/frame_014.jpg","s01","stop","20260613_134553_stop_002","14","1416","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_000.jpg","s01","stop","20260613_134559_stop_003","0","17","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_001.jpg","s01","stop","20260613_134559_stop_003","1","116","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_002.jpg","s01","stop","20260613_134559_stop_003","2","218","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_003.jpg","s01","stop","20260613_134559_stop_003","3","317","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_004.jpg","s01","stop","20260613_134559_stop_003","4","416","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_005.jpg","s01","stop","20260613_134559_stop_003","5","517","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_006.jpg","s01","stop","20260613_134559_stop_003","6","617","simple","bright","","1"
"data/raw/s01/stop/20260613_134559_stop_003/frame_007.jpg","s01","stop","20260613_134559_stop_003","7","717","simple","bright","","1"
